Title,Worldwide Earnings,Domestic Earnings,Domestic Percent Earnings,Foreign Earnings,Foreign Percent Earnings,Year
Rise of the Planet of the Apes,481800873,176760185,36.7,305040688,63.3,2011
Thor,449326618,181030624,40.3,268295994,59.7,2011
The Intouchables,426588510,10198820,2.4,416389690,97.6,2011
The Adventures of Tintin,373993951,77591831,20.7,296402120,79.3,2011
Captain America: The First Avenger,370569774,176654505,47.7,193915269,52.3,2011
X0Men: First Class,352616690,146408305,41.5,206208385,58.5,2011
Alvin and the Chipmunks: Chipwrecked,342695435,133110742,38.8,209584693,61.2,2011
Real Steel,299268508,85468508,28.6,213800000,71.4,2011
Bridesmaids,288383523,169106725,58.6,119276798,41.4,2011
Super 8,260095986,127004179,48.8,133091807,51.2,2011
Rango,245724603,123477607,50.3,122246996,49.7,2011
Green Lantern,237201172,116601172,49.2,120600000,50.8,2011
The Green Hornet,227817248,98780042,43.4,129037206,56.6,2011
Immortals,226904017,83504017,36.8,143400000,63.2,2011
The Help,216639112,169708112,78.3,46931000,21.7,2011
Bad Teacher,216197492,100292856,46.4,115904636,53.6,2011
Just Go with It,214945591,103028109,47.9,111917482,52.1,2011
Battle Los Angeles,211819354,83552429,39.4,128266925,60.6,2011
Horrible Bosses,209838559,117538559,56.0,92300000,44.0,2011
Paranormal Activity 3,207039844,104028807,50.2,103011037,49.8,2011
Gnomeo & Juliet,193967670,99967670,51.5,94000000,48.5,2011
Mr. Popper's Penguins,187361754,68224452,36.4,119137302,63.6,2011
The Lion King 2011 3D Release,186042001,94242001,50.7,91800000,49.3,2011
Hugo,185770160,73864507,39.8,111905653,60.2,2011
Hop,183953723,108085305,58.8,75868418,41.2,2011
War Horse,177584879,79884879,45.0,97700000,55.0,2011
The Descendants,177243185,82584160,46.6,94659025,53.4,2011
Cowboys & Aliens,174822325,100240551,57.3,74581774,42.7,2011
In Time,173930596,37520095,21.6,136410501,78.4,2011
Zookeeper,169852759,80360843,47.3,89491916,52.7,2011
The Muppets,165184237,88631237,53.7,76553000,46.3,2011
Limitless,161849455,79249455,49.0,82600000,51.0,2011
Johnny English Reborn,160078586,8305970,5.2,151772616,94.8,2011
Happy Feet Two,159196259,64006466,40.2,95189793,59.8,2011
Final Destination 5,157887643,42587643,27.0,115300000,73.0,2011
Tower Heist,152930623,78046570,51.0,74884053,49.0,2011
Midnight in Paris,151672318,56817045,37.5,94855273,62.5,2011
I Am Number Four,149878437,55100437,36.8,94778000,63.2,2011
Jack and Jill,149673788,74158157,49.5,75515631,50.5,2011
Friends with Benefits,149542245,55802754,37.3,93739491,62.7,2011
No Strings Attached,149228077,70662220,47.4,78565857,52.6,2011
Arthur Christmas,147419472,46462469,31.5,100957003,68.5,2011
Source Code,147332697,54712227,37.1,92620470,62.9,2011
Crazy Stupid Love.,145051197,84351197,58.2,60700000,41.8,2011
New Year's Eve,142044638,54544638,38.4,87500000,61.6,2011
Contagion,136515867,75658097,55.4,60857770,44.6,2011
Unknown,135710029,63686397,46.9,72023632,53.1,2011
The Artist,133432856,44671682,33.5,88761174,66.5,2011
The Three Musketeers,132274484,20374484,15.4,111900000,84.6,2011
We Bought a Zoo,120081841,75624550,63.0,44457291,37.0,2011
Hankyu Railways 0 A 150minute Miracle,118799256,0,0.0,118799256,100.0,2011
Water for Elephants,117094902,58709717,50.1,58385185,49.9,2011
The Iron Lady,115890699,30017992,25.9,85872707,74.1,2011
Moneyball,110206216,75605492,68.6,34600724,31.4,2011
Insidious,99557032,54009150,54.2,45547882,45.8,2011
Justin Bieber: Never Say Never,99036827,73013910,73.7,26022917,26.3,2011
Paul,97984015,37412945,38.2,60571070,61.8,2011
Scream 4,97138686,38180928,39.3,58957758,60.7,2011
The Rite,96560591,33047633,34.2,63512958,65.8,2011
Dolphin Tale,95932565,72286779,75.4,23645786,24.6,2011
Nothing to Declare,93811164,0,0.0,93811164,100.0,2011
Season of the Witch,91627228,24827228,27.1,66800000,72.9,2011
Red Riding Hood,90260376,37662162,41.7,52598214,58.3,2011
Sucker Punch,89792502,36392502,40.5,53400000,59.5,2011
The Inbetweeners,88823111,36000,0.0,88787111,100.0,2011
The Lincoln Lawyer,86752352,58009200,66.9,28743152,33.1,2011
Hall Pass,86157237,45060734,52.3,41096503,47.7,2011
Spy Kids 4: All the Time in the World,85564310,38538188,45.0,47026122,55.0,2011
J. Edgar,84920539,37306030,43.9,47614509,56.1,2011
Big Mommas: Like Father Like Son,82686066,37915414,45.9,44770652,54.1,2011
Abduction,82087155,28087155,34.2,54000000,65.8,2011
Tinker Tailor Soldier Spy,81244605,24149393,29.7,57095212,70.3,2011
Priest,78309505,29137000,37.2,49172505,62.8,2011
The Ides of March,76338111,40962534,53.7,35375577,46.3,2011
Drive,76280348,35061555,46.0,41218793,54.0,2011
The Mechanic,76130093,29121498,38.3,47008595,61.7,2011
The Change0Up,75450437,37081475,49.1,38368962,50.9,2011
Larry Crowne,75055070,35608245,47.4,39446825,52.6,2011
Diary of a Wimpy Kid: Rodrick Rules,72526996,52698535,72.7,19828461,27.3,2011
The Dilemma,69721966,48475290,69.5,21246676,30.5,2011
Something Borrowed,65100369,39046489,60.0,26053880,40.0,2011
The Darkest Hour,64626786,21443494,33.2,43183292,66.8,2011
Hanna,63782078,40259119,63.1,23522959,36.9,2011
Footloose 2011 Re0release,63543328,51802742,81.5,11740586,18.5,2011
Conan the Barbarian,63523283,21295021,33.5,42228262,66.5,2011
Colombiana,63458440,36665854,57.8,26792586,42.2,2011
From Up on Poppy Hill,61459425,1002895,1.6,60456530,98.4,2011
What a Beautiful Day,60661950,0,0.0,60661950,100.0,2011
One Day,59389433,13843771,23.3,45545662,76.7,2011
The Tree of Life,58385840,13303319,22.8,45082521,77.2,2011
Beginning of the Great Revival,58309289,151000,0.3,58158289,99.7,2011
Killer Elite,57084522,25124966,44.0,31959556,56.0,2011
Gekijouban Tenpesuto 3D,57082491,0,0.0,57082491,100.0,2011
Silent Hill: Revelation,55362705,17529157,31.7,37833548,68.3,2011
Extremely Loud & Incredibly Close,55247881,31847881,57.6,23400000,42.4,2011
Madea's Big Happy Family,54161287,53345287,98.5,816000,1.5,2011
A Ghost of a Chance,53982636,0,0.0,53982636,100.0,2011
Sunny,51116421,0,0.0,51116421,100.0,2011
War of the Arrows,50587661,251200,0.5,50336461,99.5,2011
Kokowääh,50447784,0,0.0,50447784,100.0,2011
Winnie the Pooh,49871429,26692846,53.5,23178583,46.5,2011
Arthur,48147945,33035397,68.6,15112548,31.4,2011
Soul Surfer,47120948,43853424,93.1,3267524,6.9,2011
The Debt,45636368,31177548,68.3,14458820,31.7,2011
Beastly,43202283,27865571,64.5,15336712,35.5,2011
Detective Conan: Quarter of Silence,42808575,0,0.0,42808575,100.0,2011
Shaolin,42741494,66099,0.2,42675395,99.8,2011
Born to Be Wild,41644475,25978556,62.4,15665919,37.6,2011
Shark Night,41363927,18877153,45.6,22486774,54.4,2011
50/50,41097853,35014192,85.2,6083661,14.8,2011
Fright Night,41002607,18302607,44.6,22700000,55.4,2011
Drive Angry,40909909,10721033,26.2,30188876,73.8,2011
30 Minutes or Less,40662632,37053924,91.1,3608708,8.9,2011
Gantz,40568961,0,0.0,40568961,100.0,2011
The Roommate,40492652,37300000,92.1,3192652,7.9,2011
SP: The Motion Picture II,40255101,0,0.0,40255101,100.0,2011
Dream House,39984400,21302340,53.3,18682060,46.7,2011
Monte Carlo,39782683,23186769,58.3,16595914,41.7,2011
Kaibutsu0kun: The Movie,39766344,0,0.0,39766344,100.0,2011
Mars Needs Moms,39233678,21392758,54.5,17840920,45.5,2011
The Crown Jewels,39000000,0,0.0,39000000,100.0,2011
Don't Be Afraid of the Dark,38269529,24046682,62.8,14222847,37.2,2011
Jumping the Broom,38158601,37295394,97.7,863207,2.3,2011
One for the Money,38080789,26414527,69.4,11666262,30.6,2011
The Eagle,37989684,19490041,51.3,18499643,48.7,2011
A Very Harold & Kumar Christmas,36192775,35061031,96.9,1131744,3.1,2011
Ra.One,35911689,2511689,7.0,33400000,93.0,2011
Courageous,35185884,34522221,98.1,663663,1.9,2011
My Week with Marilyn,35057696,14600347,41.6,20457349,58.4,2011
The Sitter,34942188,30441326,87.1,4500862,12.9,2011
Jane Eyre,34710627,11242660,32.4,23467967,67.6,2011
The Skin I Live In,33678406,3185812,9.5,30492594,90.5,2011
Gantz: Perfect Answer,33672515,0,0.0,33672515,100.0,2011
Punch,33556725,0,0.0,33556725,100.0,2011
Detective K: Secret of Virtuous Widow,32358664,0,0.0,32358664,100.0,2011
Bodyguard,31516209,1834384,5.8,29681825,94.2,2011
The Thing,31505287,16928670,53.7,14576617,46.3,2011
I Don't Know How She Does It,31410151,9662284,30.8,21747867,69.2,2011
All's Well Ends Well 2011,31335572,0,0.0,31335572,100.0,2011
Vysotsky. Thank You for Being Alive,31016553,0,0.0,31016553,100.0,2011
Silenced,30996130,0,0.0,30996130,100.0,2011
African Cats,30857747,15428747,50.0,15429000,50.0,2011
A Dangerous Method,30519436,5704709,18.7,24814727,81.3,2011
What's Your Number?,30426096,14011084,46.0,16415012,54.0,2011
Doraemon: Nobita and the New Steel Troops: ~Winged Angels~,30236973,0,0.0,30236973,100.0,2011
Eternal Moment,30186159,0,0.0,30186159,100.0,2011
The Rum Diary,30134958,13109815,43.5,17025143,56.5,2011
My Own Swordsman,30082188,0,0.0,30082188,100.0,2011
Carnage,30035601,2547047,8.5,27488554,91.5,2011
You Are the Apple of My Eye,29843025,0,0.0,29843025,100.0,2011
Torrente 4: Lethal Crisis,29737384,0,0.0,29737384,100.0,2011
The Sorcerer and the White Snake,29649716,0,0.0,29649716,100.0,2011
Unfair: The Answer,29166054,0,0.0,29166054,100.0,2011
Dragon,29140858,0,0.0,29140858,100.0,2011
Yolki 2,28719002,0,0.0,28719002,100.0,2011
Your Highness,28013733,21596445,77.1,6417288,22.9,2011
Love Strikes!,27707149,0,0.0,27707149,100.0,2011
The Women on the 6th Floor,27533970,719823,2.6,26814147,97.4,2011
Letters to Santa,26923513,0,0.0,26923513,100.0,2011
A Monster in Paris,26710392,0,0.0,26710392,100.0,2011
Ivan Tsarevich & the Grey Wolf,26420475,0,0.0,26420475,100.0,2011
Apollo 18,26236153,17687709,67.4,8548444,32.6,2011
Our Idiot Brother,25804448,24816118,96.2,988330,3.8,2011
Eyyvah Eyvah 2,24792348,0,0.0,24792348,100.0,2011
Ready,24663361,955148,3.9,23708213,96.1,2011
In His Chart,23384864,0,0.0,23384864,100.0,2011
Warrior,23308615,13657115,58.6,9651500,41.4,2011
Hoodwinked Too! Hood vs. Evil,23167844,10143779,43.8,13024065,56.2,2011
Young Adult,22939027,16311571,71.1,6627456,28.9,2011
Andalucia: Revenge of the Goddess,22929221,0,0.0,22929221,100.0,2011
A Separation,22926076,7099055,31.0,15827021,69.0,2011
Qualunquemente,22862029,0,0.0,22862029,100.0,2011
Friends: Naki on the Monster Island,22537428,0,0.0,22537428,100.0,2011
Kamen Rider OOO Wonderful: The Shogun and the 21 Core Medals,22313925,0,0.0,22313925,100.0,2011
Gooische vrouwen,22194574,0,0.0,22194574,100.0,2011
The Immature,21858834,0,0.0,21858834,100.0,2011
Pleasant Goat and Big Big Wolf 3,21847806,0,0.0,21847806,100.0,2011
Quick,21561934,0,0.0,21561934,100.0,2011
K0On! The Movie,21434003,0,0.0,21434003,100.0,2011
Red Dog,21185162,0,0.0,21185162,100.0,2011
Vicky and the Treasure of the Gods,20796153,0,0.0,20796153,100.0,2011
The Front Line,20629645,11018,0.0,20618627,99.9,2011
Polisse,20590872,211440,1.0,20379432,99.0,2011
Hollywoo,20587850,0,0.0,20587850,100.0,2011
Scabbard Samurai,20251745,0,0.0,20251745,100.0,2011
Kaiji 2: The Ultimate Gambler,19971259,0,0.0,19971259,100.0,2011
The Avengers,1518812988,623357910,41.0,895455078,59.0,2012
Skyfall,1108561013,304360277,27.5,804200736,72.5,2012
The Dark Knight Rises,1084939099,448139099,41.3,636800000,58.7,2012
The Hobbit: An Unexpected Journey,1017003568,303003568,29.8,714000000,70.2,2012
Ice Age: Continental Drift,877244782,161321843,18.4,715922939,81.6,2012
The Twilight Saga: Breaking Dawn 0 Part 2,829746820,292324737,35.2,537422083,64.8,2012
The Amazing Spider0Man,757930663,262030663,34.6,495900000,65.4,2012
Madagascar 3: Europe's Most Wanted,746921274,216391482,29.0,530529792,71.0,2012
The Hunger Games,694394724,408010692,58.8,286384032,41.2,2012
Men in Black³,654213485,179020854,27.4,475192631,72.6,2012
Life of Pi,609016565,124987023,20.5,484029542,79.5,2012
Ted,549368315,218815487,39.8,330552828,60.2,2012
Brave,538983207,237283207,44.0,301700000,56.0,2012
Wreck0It Ralph,471222889,189422889,40.2,281800000,59.8,2012
Les Misérables,442299309,148809770,33.6,293489539,66.4,2012
Django Unchained,425368238,162805434,38.3,262562804,61.7,2012
Prometheus,403354469,126477084,31.4,276877385,68.6,2012
Snow White and the Huntsman,396592829,155332381,39.2,241260448,60.8,2012
Taken 2,376141306,139854287,37.2,236287019,62.8,2012
Hotel Transylvania,358375603,148313048,41.4,210062555,58.6,2012
Titanic 2012 3D Release,350449521,57884114,16.5,292565407,83.5,2012
The Lorax,348961366,214151550,61.4,134809816,38.6,2012
Journey 2: The Mysterious Island,335260290,103860290,31.0,231400000,69.0,2012
The Expendables 2,314975955,85028192,27.0,229947763,73.0,2012
Rise of the Guardians,306941670,103412758,33.7,203528912,66.3,2012
Battleship,303025485,65422625,21.6,237602860,78.4,2012
Wrath of the Titans,301970083,83670083,27.7,218300000,72.3,2012
John Carter,284139100,73078100,25.7,211061000,74.3,2012
The Bourne Legacy,276144750,113203870,41.0,162940880,59.0,2012
Lincoln,275293450,182207973,66.2,93085477,33.8,2012
We're the Millers,269994119,150394119,55.7,119600000,44.3,2012
Dark Shadows,245527149,79727149,32.5,165800000,67.5,2012
Resident Evil: Retribution,240159255,42345531,17.6,197813724,82.4,2012
Silver Linings Playbook,236412453,132092958,55.9,104319495,44.1,2012
American Reunion,234989584,57011521,24.3,177978063,75.7,2012
Argo,232325503,136025503,58.5,96300000,41.5,2012
Jack Reacher,218340595,80070736,36.7,138269859,63.3,2012
Safe House,208076205,126373434,60.7,81702771,39.3,2012
21 Jump Street,201585328,138447667,68.7,63137661,31.3,2012
Total Recall,198467168,58877969,29.7,139589199,70.3,2012
The Impossible,198087212,19019882,9.6,179067330,90.4,2012
Lost in Thailand,197757387,57387,0.0,197700000,100.0,2012
The Vow,196114570,125014030,63.7,71100540,36.3,2012
Mirror Mirror,183018522,64935167,35.5,118083355,64.5,2012
The Dictator,179379533,59650222,33.3,119729311,66.7,2012
Looper,176506819,66486205,37.7,110020614,62.3,2012
Chinese Zodiac,170525083,0,0.0,170525083,100.0,2012
Magic Mike,167221571,113721571,68.0,53500000,32.0,2012
Flight,161772375,93772375,58.0,68000000,42.0,2012
Underworld: Awakening,160112671,62321039,38.9,97791632,61.1,2012
This Means War,156491279,54760791,35.0,101730488,65.0,2012
Paranormal Activity 4,142802657,53885000,37.7,88917657,62.3,2012
Step Up Revolution,140470746,35074677,25.0,105396069,75.0,2012
The Best Exotic Marigold Hotel,136836156,46412041,33.9,90424115,66.1,2012
The Wind Rises,136483439,5209580,3.8,131273859,96.2,2012
Last Vegas,134402450,63914167,47.6,70488283,52.4,2012
Zero Dark Thirty,132820716,95720716,72.1,37100000,27.9,2012
Ghost Rider: Spirit of Vengeance,132563930,51774002,39.1,80789928,60.9,2012
Cloud Atlas,130482868,27108272,20.8,103374596,79.2,2012
The Woman in Black,128955898,54333290,42.1,74622608,57.9,2012
Chronicle,126636097,64575175,51.0,62060922,49.0,2012
Walking with Dinosaurs 3D,126546518,36076121,28.5,90470397,71.5,2012
The Pirates! Band of Misfits,123054041,31051126,25.2,92002915,74.8,2012
Parental Guidance,119772232,77267296,64.5,42504936,35.5,2012
Abraham Lincoln: Vampire Hunter,116471580,37519139,32.2,78952441,67.8,2012
Pitch Perfect,115350426,65001093,56.4,50349333,43.6,2012
Hope Springs,114281051,63536011,55.6,50745040,44.4,2012
ParaNorman,107139399,56003051,52.3,51136348,47.7,2012
The Campaign,104907746,86907746,82.8,18000000,17.2,2012
Star Wars: Episode I 0 The Phantom Menace 2012 3D Release,102741546,43458335,42.3,59283211,57.7,2012
Project X,102731865,54731865,53.3,48000000,46.7,2012
The Devil Inside,101758490,53261944,52.3,48496546,47.7,2012
The Lucky One,99357138,60457138,60.8,38900000,39.2,2012
Contraband,96262212,66528000,69.1,29734212,30.9,2012
Think Like a Man,96070507,91547205,95.3,4523302,4.7,2012
Masquerade,94268432,922921,1.0,93345511,99.0,2012
Brave Hearts: Umizaru,91884352,0,0.0,91884352,100.0,2012
This Is 40,88215156,67544505,76.6,20670651,23.4,2012
The Thieves,87126367,685839,0.8,86440528,99.2,2012
The Possession,85446075,49130154,57.5,36315921,42.5,2012
What to Expect When You're Expecting,84384002,41152203,48.8,43231799,51.2,2012
Savages,82966152,47382068,57.1,35584084,42.9,2012
Sinister,82515113,48086903,58.3,34428210,41.7,2012
Act of Valor,82497035,70012847,84.9,12484188,15.1,2012
Frankenweenie,81491068,35291068,43.3,46200000,56.7,2012
The Grey,79781695,51580236,64.7,28201459,35.3,2012
Diary of a Wimpy Kid: Dog Days,77229695,49008662,63.5,28221033,36.5,2012
Thermae Romae,74285251,0,0.0,74285251,100.0,2012
One Piece Film Z,74223861,0,0.0,74223861,100.0,2012
To Rome with Love,73244881,16685867,22.8,56559014,77.2,2012
Here Comes the Boom,73100172,45290318,62.0,27809854,38.0,2012
Bayside Shakedown the Final,72867395,0,0.0,72867395,100.0,2012
The Cabin in the Woods,69935600,42073277,60.2,27862323,39.8,2012
Finding Nemo 2012 3D Release,69328283,41128283,59.3,28200000,40.7,2012
Anna Karenina,68929150,12816367,18.6,56112783,81.4,2012
The Watch,68267862,35353000,51.8,32914862,48.2,2012
Moonrise Kingdom,68263166,45512466,66.7,22750700,33.3,2012
The Secret of the Gods,67537798,0,0.0,67537798,100.0,2012
Madea's Witness Protection,66899242,65653242,98.1,1246000,1.9,2012
Beauty and the Beast 2012 3D Release,62008601,47617067,76.8,14391534,23.2,2012
Astérix and Obélix: God Save Britannia,61319383,0,0.0,61319383,100.0,2012
Evangelion: 3.0 You Can (Not) Redo,60488344,174945,0.3,60313399,99.7,2012
Quartet,59520298,18390117,30.9,41130181,69.1,2012
Rock of Ages,59418613,38518613,64.8,20900000,35.2,2012
That's My Boy,57719093,36931089,64.0,20788004,36.0,2012
The Odd Life of Timothy Green,56012642,51854875,92.6,4157767,7.4,2012
Lawless,55404159,37400127,67.5,18004032,32.5,2012
End of Watch,55078146,41003371,74.4,14074775,25.6,2012
Wolf Children,54984346,0,0.0,54984346,100.0,2012
The Three Stooges,54819301,44338224,80.9,10481077,19.1,2012
The Five0Year Engagement,54169363,28835528,53.2,25333835,46.8,2012
Red Dawn,50950296,44806783,87.9,6143513,12.1,2012
Red Tails,50365498,49876377,99.0,489121,1.0,2012
Monsters Inc. 2012 3D Release,50207820,34043006,67.8,16164814,32.2,2012
HOUBA! On the Trail of the Marsupilami,50146474,0,0.0,50146474,100.0,2012
Tad: The Lost Explorer,49491464,0,0.0,49491464,100.0,2012
A Turtle's Tale 2: Sammy's Escape from Paradise,49261830,0,0.0,49261830,100.0,2012
Trouble with the Curve,48963137,35763137,73.0,13200000,27.0,2012
Man on a Ledge,47636031,18620000,39.1,29016031,60.9,2012
A Werewolf Boy,46282588,342922,0.7,45939666,99.3,2012
Doraemon: Nobita and the Island of Miracles ~Animal Adventure~,46180706,0,0.0,46180706,100.0,2012
Gekijouban Tenpesuto 3D 2012 Re0release,46008255,0,0.0,46008255,100.0,2012
Detective Conan: The Eleventh Striker,44369456,0,0.0,44369456,100.0,2012
House at the End of the Street,44287131,31611916,71.4,12675215,28.6,2012
The Guilt Trip,41863726,37134215,88.7,4729511,11.3,2012
Safe,41564670,17142080,41.2,24422590,58.8,2012
Dredd,41037742,13414714,32.7,27623028,67.3,2012
La vérité si je mens! 3,40928635,0,0.0,40928635,100.0,2012
Always: Sunset on Third Street '64,40923305,0,0.0,40923305,100.0,2012
Chernobyl Diaries,38390020,18119640,47.2,20270380,52.8,2012
Killing Them Softly,37930465,15026056,39.6,22904409,60.4,2012
Rurouni Kenshin Part I: Origins,37654579,0,0.0,37654579,100.0,2012
The Tower,36512327,0,0.0,36512327,100.0,2012
Conquest 1453,35797045,35730,0.0,35761315,99.9,2012
Good Deeds,35579177,35025791,98.4,553386,1.6,2012
Arbitrage,35485056,7919574,22.3,27565482,77.7,2012
Welcome to the North,34995189,0,0.0,34995189,100.0,2012
Chimpanzee,34823764,28972764,83.2,5851000,16.8,2012
Alex Cross,34618867,25888412,74.8,8730455,25.2,2012
Salmon Fishing in the Yemen,34564651,9047981,26.2,25516670,73.8,2012
Haywire,34513760,18942396,54.9,15571364,45.1,2012
Adventures in Zambezia,34428345,0,0.0,34428345,100.0,2012
Cirque du Soleil: Worlds Away,34153101,12512862,36.6,21640239,63.4,2012
Three Heroes on Distant Shores,33674759,0,0.0,33674759,100.0,2012
2016: Obama's America,33449086,33449086,100.0,0,0.0,2012
The Perks of Being a Wallflower,33384127,17742948,53.1,15641179,46.9,2012
Lockout,32948113,14326864,43.5,18621249,56.5,2012
Katy Perry: Part of Me,32726956,25326071,77.4,7400885,22.6,2012
Nameless Gangster: Rules of the Time,32472645,0,0.0,32472645,100.0,2012
Movie 43,32438988,8840453,27.3,23598535,72.7,2012
The Floating Castle,31967471,0,0.0,31967471,100.0,2012
The Neighbors,31949315,0,0.0,31949315,100.0,2012
The Dream Team,31822402,0,0.0,31822402,100.0,2012
What's in a Name?,31303580,8111,0.0,31295469,100.0,2012
Joyful Noise,31158113,30932113,99.3,226000,0.7,2012
Premium Rush,31083599,20275446,65.2,10808153,34.8,2012
Playing for Keeps,30962335,13103272,42.3,17859063,57.7,2012
The Four,30505808,0,0.0,30505808,100.0,2012
The Grand Heist,30158762,0,0.0,30158762,100.0,2012
The Raven,29699345,16008272,53.9,13691073,46.1,2012
Amour,29652180,6739492,22.7,22912688,77.3,2012
All About My Wife,29382038,0,0.0,29382038,100.0,2012
Seven Psychopaths,29347202,15024049,51.2,14323153,48.8,2012
Rowdy Rathore,29342463,777373,2.6,28565090,97.4,2012
SPEC: Heaven,29023960,0,0.0,29023960,100.0,2012
We Were There: True Love,28876929,0,0.0,28876929,100.0,2012
Bol Bachchan,28775262,1216258,4.2,27559004,95.8,2012
Deranged,28444173,0,0.0,28444173,100.0,2012
The Master,28258060,16377274,58.0,11880786,42.0,2012
Hitchcock,27039669,6008677,22.2,21030992,77.8,2012
Dearest,26723916,0,0.0,26723916,100.0,2012
Architecture 101,26642354,0,0.0,26642354,100.0,2012
Dancing Queen,26411266,0,0.0,26411266,100.0,2012
Lesson of the Evil,26167224,0,0.0,26167224,100.0,2012
Agneepath,26001696,1986748,7.6,24014948,92.4,2012
Rust and Bone,25807712,2062027,8.0,23745685,92.0,2012
Head Over Heels 2,25402893,0,0.0,25402893,100.0,2012
On the Other Side of the Tracks,25109572,9572,0.0,25100000,100.0,2012
Helter Skelter,25066699,0,0.0,25066699,100.0,2012
The Last Tycoon,25009914,0,0.0,25009914,100.0,2012
Housefull 2,24922847,1791780,7.2,23131067,92.8,2012
Big Miracle,24719215,20157300,81.5,4561915,18.5,2012
Sparkle,24637800,24397469,99.0,240331,1.0,2012
The Players,24629152,10854,0.0,24618298,100.0,2012
Liar Game: Reborn,24549726,0,0.0,24549726,100.0,2012
I Want You,23961214,0,0.0,23961214,100.0,2012
Turkish for Beginners,23952712,0,0.0,23952712,100.0,2012
Wanderlust,23812816,17450535,73.3,6362281,26.7,2012
Little Brother Big Trouble: A Christmas Adventure,23785681,0,0.0,23785681,100.0,2012
To the Arctic 3D,23695388,14560838,61.5,9134550,38.5,2012
Hotaru the Movie: It's Only a Little Light in My Life,22975341,0,0.0,22975341,100.0,2012
Kon0Tiki,22842887,1517410,6.6,21325477,93.4,2012
Fall in Love Like a Star,22640355,0,0.0,22640355,100.0,2012
Upside Down,22187813,105095,0.5,22082718,99.5,2012
Unbowed,22132903,0,0.0,22132903,100.0,2012
Confession of Murder,21701525,0,0.0,21701525,100.0,2012
StreetDance 2 2012 Re0release,21638853,0,0.0,21638853,100.0,2012
2012 2012 Re0release,21538353,0,0.0,21538353,100.0,2012
Beasts of the Southern Wild,21107746,12795746,60.6,8312000,39.4,2012
Frozen,1280802282,400738009,31.3,880064273,68.7,2013
Iron Man 3,1214811252,409013994,33.7,805797258,66.3,2013
Despicable Me 2,970766005,368065385,37.9,602700620,62.1,2013
The Hobbit: The Desolation of Smaug,958366855,258366855,27.0,700000000,73.0,2013
The Hunger Games: Catching Fire,865011746,424668047,49.1,440343699,50.9,2013
Fast & Furious 6,788679850,238679850,30.3,550000000,69.7,2013
Monsters University,743559607,268492764,36.1,475066843,63.9,2013
Gravity,723192705,274092705,37.9,449100000,62.1,2013
Man of Steel,670145518,291045518,43.4,379100000,56.6,2013
Thor: The Dark World,644783140,206362140,32.0,438421000,68.0,2013
The Croods,587204668,187168425,31.9,400036243,68.1,2013
World War Z,540007876,202359711,37.5,337648165,62.5,2013
Oz the Great and Powerful,493311825,234911825,47.6,258400000,52.4,2013
Star Trek Into Darkness,467365246,228778661,49.0,238586585,51.0,2013
The Wolverine,414828246,132556852,32.0,282271394,68.0,2013
Pacific Rim,411002906,101802906,24.8,309200000,75.2,2013
The Wolf of Wall Street,392000694,116900694,29.8,275100000,70.2,2013
G.I. Joe: Retaliation,375740705,122523060,32.6,253217645,67.4,2013
The Hangover Part III,362000072,112200072,31.0,249800000,69.0,2013
The Great Gatsby,353641895,144840419,41.0,208801476,59.0,2013
Now You See Me,351723989,117723989,33.5,234000000,66.5,2013
The Smurfs 2,347545360,71017784,20.4,276527576,79.6,2013
The Conjuring,319494638,137400141,43.0,182094497,57.0,2013
A Good Day to Die Hard,304654182,67349198,22.1,237304984,77.9,2013
Oblivion,286168572,89107235,31.1,197061337,68.9,2013
Elysium,286140700,93050117,32.5,193090583,67.5,2013
Turbo,282570682,83028128,29.4,199542554,70.6,2013
Cloudy with a Chance of Meatballs 2,274325949,119793567,43.7,154532382,56.3,2013
Epic,268426634,107518682,40.1,160907952,59.9,2013
The Lone Ranger,260502115,89302115,34.3,171200000,65.7,2013
American Hustle,251171807,150117807,59.8,101054000,40.2,2013
Grown Ups 2,246984278,133668525,54.1,113315753,45.9,2013
After Earth,243611982,60522097,24.8,183089885,75.2,2013
Planes,239258712,90288712,37.7,148970000,62.3,2013
The Heat,229930771,159582188,69.4,70348583,30.6,2013
Hansel & Gretel: Witch Hunters,226349749,55703475,24.6,170646274,75.4,2013
Captain Phillips,218791811,107100855,49.0,111690956,51.0,2013
Journey to the West: Conquering the Demons,205637183,18058,0.0,205619125,100.0,2013
White House Down,205366737,73103784,35.6,132262953,64.4,2013
Percy Jackson: Sea of Monsters,199850315,68559554,34.3,131290761,65.7,2013
Jack the Giant Slayer,197687603,65187603,33.0,132500000,67.0,2013
The Secret Life of Walter Mitty,188133322,58236838,31.0,129896484,69.0,2013
12 Years a Slave,187733202,56671993,30.2,131061209,69.8,2013
The Butler,177313795,116632095,65.8,60681700,34.2,2013
Identity Thief,173965010,134506920,77.3,39458090,22.7,2013
Anchorman 2: The Legend Continues,171464676,125168368,73.0,46296308,27.0,2013
Olympus Has Fallen,170270201,98925640,58.1,71344561,41.9,2013
Insidious: Chapter 2,161919318,83586447,51.6,78332871,48.4,2013
Lone Survivor,154802912,125095601,80.8,29707311,19.2,2013
Jackass Presents: Bad Grandpa,151826547,102003019,67.2,49823528,32.8,2013
47 Ronin,151783839,38362475,25.3,113421364,74.7,2013
